CYUSB302,,,
PIN,Unit,Type,Name
A1,POWER,PWR,U3VSSQ
A2,POWER,PWR,U3RXVDDQ
A3,USB,BI,SSRXM
A4,USB,BI,SSRXP
A5,USB,BI,SSTXP
A6,USB,BI,SSTXM
A7,POWER,PWR,AVDD
A8,POWER,PWR,VSS
A9,USB,BI,DP
A10,USB,BI,DM
A11,POWER,NC,NC
B1,OTHER,BI,VIO4
B2,OTHER,BI,FSLC[0]
B3,USB,BI,R_USB3
B4,OTHER,BI,FSLC[1]
B5,POWER,PWR,U3TXVDDQ
B6,POWER,PWR,CVDDQ
B7,POWER,PWR,AVSS
B8,POWER,PWR,VSS
B9,POWER,PWR,VSS
B10,POWER,PWR,VDD
B11,OTHER,BI,TRST#
C1,GPIO,BI,GPIO[54]
C2,GPIO,BI,GPIO[55]
C3,POWER,PWR,VDD
C4,GPIO,BI,GPIO[57]
C5,OTHER,BI,RESET#
C6,OTHER,BI,XTALIN
C7,OTHER,BI,XTALOUT
C8,USB,BI,R_USB2
C9,USB,BI,OTG_ID
C10,OTHER,BI,TDO
C11,OTHER,BI,VIO5
D1,GPIO,BI,GPIO[50]
D2,GPIO,BI,GPIO[51]
D3,GPIO,BI,GPIO[52]
D4,GPIO,BI,GPIO[53]
D5,GPIO,BI,GPIO[56]
D6,OTHER,BI,CLKIN_32
D7,OTHER,BI,CLKIN
D8,POWER,PWR,VSS
D9,GPIO,BI,I2C_GPIO[58]
D10,GPIO,BI,I2C_GPIO[59]
D11,POWER,NC,NC
E1,GPIO,BI,GPIO[47]
E2,POWER,PWR,VSS
E3,POWER,PWR,S1VDDQ
E4,GPIO,BI,GPIO[49]
E5,GPIO,BI,GPIO[48]
E6,OTHER,BI,FSLC[2]
E7,OTHER,BI,TDI
E8,OTHER,BI,TMS
E9,POWER,PWR,VDD
E10,OTHER,BI,VBATT
E11,OTHER,BI,VBUS
F1,POWER,PWR,S0VDDQ
F2,GPIO,BI,GPIO[45]
F3,GPIO,BI,GPIO[44]
F4,GPIO,BI,GPIO[41]
F5,GPIO,BI,GPIO[46]
F6,OTHER,BI,TCK
F7,GPIO,BI,GPIO[2]
F8,GPIO,BI,GPIO[5]
F9,GPIO,BI,GPIO[1]
F10,GPIO,BI,GPIO[0]
F11,POWER,PWR,VDD
G1,POWER,PWR,VSS
G2,GPIO,BI,GPIO[42]
G3,GPIO,BI,GPIO[43]
G4,GPIO,BI,GPIO[30]
G5,GPIO,BI,GPIO[25]
G6,GPIO,BI,GPIO[22]
G7,GPIO,BI,GPIO[21]
G8,GPIO,BI,GPIO[15]
G9,GPIO,BI,GPIO[4]
G10,GPIO,BI,GPIO[3]
G11,POWER,PWR,VSS
H1,POWER,PWR,VDD
H2,GPIO,BI,GPIO[39]
H3,GPIO,BI,GPIO[40]
H4,GPIO,BI,GPIO[31]
H5,GPIO,BI,GPIO[29]
H6,GPIO,BI,GPIO[26]
H7,GPIO,BI,GPIO[20]
H8,GPIO,BI,GPIO[24]
H9,GPIO,BI,GPIO[7]
H10,GPIO,BI,GPIO[6]
H11,POWER,PWR,S2VDDQ
J1,GPIO,BI,GPIO[38]
J2,GPIO,BI,GPIO[36]
J3,GPIO,BI,GPIO[37]
J4,GPIO,BI,GPIO[34]
J5,GPIO,BI,GPIO[28]
J6,GPIO,BI,GPIO[16]
J7,GPIO,BI,GPIO[19]
J8,GPIO,BI,GPIO[14]
J9,GPIO,BI,GPIO[9]
J10,GPIO,BI,GPIO[8]
J11,POWER,PWR,VDD
K1,GPIO,BI,GPIO[35]
K2,GPIO,BI,GPIO[33]
K3,POWER,PWR,VSS
K4,POWER,PWR,VSS
K5,GPIO,BI,GPIO[27]
K6,GPIO,BI,GPIO[23]
K7,GPIO,BI,GPIO[18]
K8,GPIO,BI,GPIO[17]
K9,GPIO,BI,GPIO[13]
K10,GPIO,BI,GPIO[12]
K11,GPIO,BI,GPIO[10]
L1,POWER,PWR,VSS
L2,POWER,PWR,VSS
L3,POWER,PWR,VSS
L4,GPIO,BI,GPIO[32]
L5,POWER,PWR,VDD
L6,POWER,PWR,VSS
L7,POWER,PWR,VDD
L8,POWER,NC,NC
L9,POWER,PWR,S2VDDQ
L10,GPIO,BI,GPIO[11]
L11,POWER,PWR,VSS