GL3233,,,,
Pin,Unit,Type,Name,Side
3,POWER,PWR,AVDD12,LEFT
46,POWER,PWR,AVDD12,LEFT
9,POWER,PWR,AVDD33,RIGHT
43,POWER,PWR,AVDD33,RIGHT
21,POWER,PWR,DVDD12,LEFT
42,POWER,PWR,DVDD12,LEFT
31,POWER,PWR,DVDD33,RIGHT
40,POWER,PWR,DVDD33,RIGHT
22,POWER,PWR,V33IN,LEFT
30,POWER,PWR,VUHSI,LEFT
38,POWER,PWR,VBUS,RIGHT
39,POWER,PWR,PMOS,RIGHT
6,POWER,PWR,GND,LEFT
47,POWER,PWR,GND,RIGHT
44,DATA,I/O,DP,LEFT
45,DATA,I/O,DM,LEFT
1,DATA,I/O,TXN,LEFT
2,DATA,I/O,TXP,LEFT
4,DATA,I/O,RXN,LEFT
5,DATA,I/O,RXP,LEFT
10,DATA,I/O,RTERM,LEFT
7,DATA,INPUT,X1,LEFT
8,DATA,I/O,X2,LEFT
20,DATA,INPUT,SD_CDZ,RIGHT
23,DATA,INPUT,MS_INS,RIGHT
32,DATA,INPUT,XD_CDZ,RIGHT
11,DATA,OUTPUT,XD_RBZ,RIGHT
12,DATA,OUTPUT,XD_REZ,RIGHT
13,DATA,OUTPUT,XD_CEZ,RIGHT
14,DATA,OUTPUT,XD_WEZ,RIGHT
24,DATA,I/O,SB1,RIGHT
25,DATA,I/O,SB2,RIGHT
26,DATA,I/O,SB3,RIGHT
27,DATA,I/O,SB4,RIGHT
28,DATA,I/O,SB5,RIGHT
29,DATA,I/O,SB6,RIGHT
15,DATA,I/O,SB7,RIGHT
16,DATA,I/O,SB8,RIGHT
17,DATA,I/O,SB9,RIGHT
18,DATA,I/O,SB10,RIGHT
19,DATA,I/O,SB11,RIGHT
33,DATA,OUTPUT,LED,LEFT
34,DATA,OUTPUT,SPI_CS,LEFT
35,DATA,OUTPUT,SPI_CLK,LEFT
36,DATA,OUTPUT,SPI_SI,LEFT
37,DATA,INPUT,SPI_SO,LEFT
41,DATA,INPUT,RSTZ,LEFT