GLS55LD040M,,,
Pin,Unit,Type,Name
A2,DATA,BI,F1_A1
A3,DATA,BI,F1_A10
A4,DATA,BI,F1_A11
A5,DATA,BI,F1_A12
A6,DATA,BI,F1_A6
A7,DATA,BI,F1_A15
A8,DATA,BI,F1_CE7
A9,DATA,BI,F1_CE1
A10,DATA,BI,DIR0
A11,DATA,BI,F1_CE0
A12,DATA,BI,F1_CE4
A13,DATA,BI,F1_CLE
B1,DATA,BI,F1_A0
B2,DATA,BI,F1_A9
B3,DATA,BI,F1_A3
B4,DATA,BI,F1_A4
B5,DATA,BI,F1_A5
B6,DATA,BI,F1_A14
B7,POWER,NC,NC
B8,DATA,BI,F1_RE
B9,DATA,BI,F1_CE3
B10,POWER,NC,NC
B11,POWER,NC,NC
B12,DATA,BI,F1_CE2
B13,DATA,BI,F1_CE6
B14,DATA,BI,F1_WE
C1,DATA,BI,F1_A8
C2,DATA,BI,F1_A2
C3,POWER,PWR,VDD
C4,POWER,PWR,VDD
C5,DATA,BI,F1_A13
C6,DATA,BI,F1_A7
C7,POWER,NC,NC
C8,POWER,NC,NC
C9,DATA,BI,F1_CE5
C10,DATA,BI,DIR1
C11,POWER,PWR,VDD
C12,POWER,PWR,VDDQ
C13,DATA,BI,F1_ALE
C14,POWER,PWR,VSS
D1,DATA,BI,XCLKI
D2,POWER,NC,NC
D3,POWER,PWR,VDDQ
D4,POWER,PWR,VSS
D12,POWER,PWR,VSS
D13,POWER,NC,NC
D14,DATA,BI,WP
E1,POWER,NC,NC
E2,POWER,NC,NC
E3,POWER,NC,NC
E12,POWER,NC,NC
E13,POWER,NC,NC
E14,POWER,NC,NC
F1,DATA,BI,CS3FX
F2,DATA,BI,A2
F3,DATA,BI,PDIAG
F6,POWER,PWR,VSSC
F7,POWER,PWR,VSS
F8,POWER,PWR,VSS
F9,POWER,PWR,VSSC
F12,DATA,BI,A0
F13,DATA,BI,CS1FX
F14,POWER,NC,NC
G1,DATA,BI,IO_CS16
G2,DATA,BI,CSEL
G3,DATA,BI,IO_WR
G6,POWER,PWR,VSS
G7,POWER,PWR,VSS
G8,POWER,PWR,VSS
G9,POWER,PWR,VSS
G12,DATA,BI,DMACK
G13,DATA,BI,INTRQ
G14,DATA,BI,A1
H1,DATA,BI,D14
H2,DATA,BI,D15
H3,DATA,BI,IORDY
H6,POWER,PWR,VSS
H7,POWER,PWR,VSS
H8,POWER,PWR,VSS
H9,POWER,PWR,VSS
H12,DATA,BI,IORD
H13,DATA,BI,DMARQ
H14,DATA,BI,D0
J1,DATA,BI,D11
J2,DATA,BI,D12
J3,DATA,BI,D13
J6,POWER,PWR,VSSC
J7,POWER,PWR,VSS
J8,POWER,PWR,VSS
J12,DATA,BI,D1
J13,DATA,BI,D2
J14,DATA,BI,D3
K1,DATA,BI,D9
K2,DATA,BI,D10
K3,POWER,PWR,VDDQ
K12,DATA,BI,D4
K13,DATA,BI,D5
K14,DATA,BI,D6
L1,DATA,BI,DASP
L2,DATA,BI,D8
L3,POWER,PWR,VDD
L12,POWER,PWR,VSS
L13,DATA,BI,D7
L14,DATA,BI,RST
M1,DATA,BI,XCLKEN
M2,DATA,BI,F0_CE6
M3,POWER,PWR,VDDC
M4,POWER,PWR,VDDC
M5,POWER,PWR,AVSS
M6,DATA,BI,F0_CE7
M7,DATA,BI,SCI_DIN
M8,DATA,BI,SCI_CLK
M9,DATA,BI,F0_A14
M10,DATA,BI,F0_A5
M11,POWER,PWR,VDD
M12,POWER,PWR,VDDQ
M13,DATA,BI,F0_A2
M14,DATA,BI,F0_A8
N1,DATA,BI,F0_WE
N2,DATA,BI,F0_CLE
N3,DATA,BI,F0_CS2
N4,POWER,NC,NC
N5,DATA,BI,F0_CE1
N6,DATA,BI,F0_CE5
N7,DATA,BI,SCI_DOUT
N8,DATA,BI,F0_A15
N9,DATA,BI,F0_A6
N10,DATA,BI,F0_A12
N11,DATA,BI,F0_A11
N12,POWER,PWR,VDD
N13,DATA,BI,F0_A9
N14,DATA,BI,F0_A0
P2,DATA,BI,F0_ALE
P3,DATA,BI,F0_CE4
P4,DATA,BI,F0_CE0
P5,POWER,NC,NC
P6,DATA,BI,F0_CE3
P7,DATA,BI,F0_RE
P8,DATA,BI,F0_A7
P9,DATA,BI,F0_A13
P10,DATA,BI,F0_A4
P11,DATA,BI,F0_A3
P12,DATA,BI,F0_A10
P13,DATA,BI,F0_A1