HSS6,,,
,,,
Pin,Unit,Type,Name
37,DATA,BI,DUAL 
12,DATA,BI,FOALE
13,DATA,BI,FOCLE
50,DATA,BI,FOCSO#
49,DATA,BI,FOCSI#
9,DATA,BI,FODO
8,DATA,BI,FODI
7,DATA,BI,FOD2
6,DATA,BI,FOD3
5,DATA,BI,FOD4
4,DATA,BI,FOD5
3,DATA,BI,FOD6
2,DATA,BI,FOD7 
51,DATA,BI,FOOE# 
1,DATA,BI,FORDYO
52,DATA,BI,FORDYI 
11,DATA,BI,FOWE#
15,DATA,BI,FIALE
14,DATA,BI,FICLE 
28,DATA,BI,FICSO#
29,DATA,BI,FICSI#
17,DATA,BI,FIDO
18,DATA,BI,FIDI 
19,DATA,BI,FI D2
20,DATA,BI,FID3
21,DATA,BI,FI D4
22,DATA,BI,FI D5
23,DATA,BI,FI D6
24,DATA,BI,FI D7
27,DATA,BI,Fl OE# 
25,DATA,BI,FIRDYO
26,DATA,BI,Fl RDYI 
16,DATA,BI,FIWE#
10,DATA,BI,FWP#
38,DATA,BI,MODE
36,DATA,BI,MODE2
35,DATA,BI,RESET#
45,DATA,BI,SDCLK
41,DATA,BI,SDCMD 
42,DATA,BI,SDDATO 
43,DATA,BI,SDDATI
39,DATA,BI,SDDAT2 
4,DATA,BI,SDDAT3
48,DATA,BI,SDDAT4
47,DATA,BI,SDDAT5
46,DATA,BI,SDDAT6
44,DATA,BI,SDDAT7
30,DATA,BI,VCC3F
53,DATA,BI,VCC3H
33,DATA,BI,VDDC 
34,POWER,PWR,VDDC C
31,POWER,PWR,VDDF
32,POWER,PWR,VDDF C
54,POWER,PWR,VSS