JM20330,,,
Pin,Unit,Type,Name
1,DATA,BI,DD13
2,DATA,BI,DD2
3,DATA,BI,DD12
4,POWER,BI,VCCO
5,DATA,BI,DD3
6,DATA,BI,DD11
7,DATA,BI,DD4
8,POWER,PWR,DGND
9,POWER,BI,VCCK
10,DATA,BI,DD10
11,DATA,BI,DD5
12,DATA,BI,DD9
13,DATA,BI,DD6
14,DATA,BI,DD8
15,DATA,BI,DD7
16,DATA,BI,RESETn
17,DATA,BI,PORn
18,DATA,BI,MODE0
19,DATA,BI,MODE1
20,DATA,BI,MODE2
21,DATA,BI,ATAIOEN
22,DATA,BI,XTALI
23,DATA,BI,XTALO
24,POWER,PWR,AVDDH
25,POWER,PWR,AGND
26,DATA,BI,REXT
27,DATA,BI,RXP
28,DATA,BI,RXN
29,POWER,PWR,AVDDL
30,POWER,PWR,AGND
31,DATA,BI,TXN
32,DATA,BI,TXP
33,DATA,BI,MSSEL
34,DATA,BI,DASPn
35,DATA,BI,SSCEN
36,DATA,BI,CLKSEL0
37,DATA,BI,CLKSEL1
38,DATA,BI,FXDMA
39,DATA,BI,PMEN
40,DATA,BI,PHYRDY
41,POWER,BI,VCCK
42,POWER,PWR,DGND
43,DATA,BI,UAI
44,POWER,BI,VCCO
45,DATA,BI,UAO
46,DATA,BI,PDIAGn
47,DATA,BI,CS1n
48,DATA,BI,CS0n
49,DATA,BI,DA2
50,DATA,BI,DA0
51,DATA,BI,DA1
52,DATA,BI,SP
53,DATA,BI,INTRQ
54,DATA,BI,DMACKn
55,DATA,BI,IORDY
56,POWER,BI,VCCK
57,POWER,PWR,DGND
58,DATA,BI,DIORn
59,DATA,BI,DIOWn
60,DATA,BI,DMARQ
61,DATA,BI,DD15
62,DATA,BI,DD0
63,DATA,BI,DD14
64,DATA,BI,DD1