QCA8337,,,,
Number,Unit,Type,Name,Side
B5,UNIT_A,I/O,CH0_TRXN0,LEFT
A6,UNIT_A,I/O,CH0_TRXP0,LEFT
A8,UNIT_A,I/O,CH0_TRXN1,LEFT
B6,UNIT_A,I/O,CH0_TRXP1,LEFT
B8,UNIT_A,I/O,CH0_TRXN2,LEFT
A9,UNIT_A,I/O,CH0_TRXP2,LEFT
A11,UNIT_A,I/O,CH0_TRXN3,LEFT
B9,UNIT_A,I/O,CH0_TRXP3,LEFT
A15,UNIT_A,I/O,CH1_TRXN0,LEFT
B13,UNIT_A,I/O,CH1_TRXP0,LEFT
B15,UNIT_A,I/O,CH1_TRXN1,LEFT
A16,UNIT_A,I/O,CH1_TRXP1,LEFT
A18,UNIT_A,I/O,CH1_TRXN2,LEFT
B16,UNIT_A,I/O,CH1_TRXP2,LEFT
B18,UNIT_A,I/O,CH1_TRXN3,LEFT
A19,UNIT_A,I/O,CH1_TRXP3,LEFT
A25,UNIT_A,I/O,CH2_TRXN0,LEFT
B20,UNIT_A,I/O,CH2_TRXP0,LEFT
B22,UNIT_A,I/O,CH2_TRXN1,LEFT
A26,UNIT_A,I/O,CH2_TRXP1,LEFT
A28,UNIT_A,I/O,CH2_TRXN2,LEFT
B23,UNIT_A,I/O,CH2_TRXP2,LEFT
B25,UNIT_A,I/O,CH2_TRXN3,LEFT
A29,UNIT_A,I/O,CH2_TRXP3,LEFT
A31,UNIT_A,I/O,CH3_TRXN0,RIGHT
B26,UNIT_A,I/O,CH3_TRXP0,RIGHT
B28,UNIT_A,I/O,CH3_TRXN1,RIGHT
A32,UNIT_A,I/O,CH3_TRXP1,RIGHT
A35,UNIT_A,I/O,CH3_TRXN2,RIGHT
B30,UNIT_A,I/O,CH3_TRXP2,RIGHT
B32,UNIT_A,I/O,CH3_TRXN3,RIGHT
A36,UNIT_A,I/O,CH3_TRXP3,RIGHT
A38,UNIT_A,I/O,CH4_TRXN0,RIGHT
B33,UNIT_A,I/O,CH4_TRXP0,RIGHT
B35,UNIT_A,I/O,CH4_TRXN1,RIGHT
A39,UNIT_A,I/O,CH4_TRXP1,RIGHT
A41,UNIT_A,I/O,CH4_TRXN2,RIGHT
B36,UNIT_A,I/O,CH4_TRXP2,RIGHT
B38,UNIT_A,I/O,CH4_TRXN3,RIGHT
A42,UNIT_A,I/O,CH4_TRXP3,RIGHT
B51,UNIT_B,I/O,GTXCLK_0/TXCLK_0,LEFT
B47,UNIT_B,I/O,RXCLK_0,LEFT
A54,UNIT_B,I/O,RXDV_0,LEFT
A55,UNIT_B,I/O,RXD0_0,LEFT
B48,UNIT_B,I/O,RXD1_0,LEFT
B49,UNIT_B,I/O,RXD2_0,LEFT
A57,UNIT_B,I/O,RXD3_0,LEFT
A58,UNIT_B,INPUT,TXEN_0,LEFT
A59,UNIT_B,INPUT,TXD0_0,LEFT
B52,UNIT_B,INPUT,TXD1_0,LEFT
A60,UNIT_B,INPUT,TXD2_0,LEFT
B53,UNIT_B,INPUT,TXD3_0,LEFT
A74,UNIT_B,I/O,GTXCLK_1/TXCLK_1,RIGHT
B59,UNIT_B,I/O,RXCLK_1,RIGHT
A69,UNIT_B,I/O,RXDV_1,RIGHT
A70,UNIT_B,I/O,RXD0_1,RIGHT
B60,UNIT_B,I/O,RXD1_1,RIGHT
B61,UNIT_B,I/O,RXD2_1,RIGHT
A72,UNIT_B,I/O,RXD3_1,RIGHT
A73,UNIT_B,INPUT,TXEN_1,RIGHT
B64,UNIT_B,INPUT,TXD0_1,RIGHT
A75,UNIT_B,INPUT,TXD1_1,RIGHT
B65,UNIT_B,INPUT,TXD2_1,RIGHT
A76,UNIT_B,INPUT,TXD3_1,RIGHT
B70,UNIT_B,OUTPUT,LED_LINK10n_0,LEFT
B72,UNIT_B,OUTPUT,LED_LINK10n_1,LEFT
A84,UNIT_B,OUTPUT,LED_LINK10n_2,LEFT
B75,UNIT_B,OUTPUT,LED_LINK10n_3,LEFT
A48,UNIT_B,OUTPUT,LED_LINK10n_4,LEFT
A81,UNIT_B,OUTPUT,LED_LINK100n_0,LEFT
A83,UNIT_B,OUTPUT,LED_LINK100n_1,LEFT
B74,UNIT_B,OUTPUT,LED_LINK100n_2,LEFT
A86,UNIT_B,OUTPUT,LED_LINK100n_3,LEFT
B41,UNIT_B,OUTPUT,LED_LINK100n_4,LEFT
B71,UNIT_B,OUTPUT,LED_LINK1000n_0,RIGHT
B73,UNIT_B,OUTPUT,LED_LINK1000n_1,RIGHT
A85,UNIT_B,OUTPUT,LED_LINK1000n_2,RIGHT
B76,UNIT_B,OUTPUT,LED_LINK1000n_3,RIGHT
A49,UNIT_B,OUTPUT,LED_LINK1000n_4,RIGHT
A52,UNIT_C,I/O,SPI_CLK,LEFT
B44,UNIT_C,I/O,SPI_CS,LEFT
A50,UNIT_C,INPUT,SPI_DI,LEFT
B43,UNIT_C,I/O,SPI_DO,LEFT
A53,UNIT_C,INPUT,UART_RXD/MDC,LEFT
B45,UNIT_C,I/O,UART_TXD/MDIO,LEFT
B67,UNIT_C,OUTPUT,SOP,LEFT
A77,UNIT_C,OUTPUT,SON,LEFT
A79,UNIT_C,INPUT,SIP,LEFT
B68,UNIT_C,INPUT,SIN,LEFT
A13,UNIT_C,OUTPUT,RBIAS,RIGHT
B42,UNIT_C,INPUT,RESETn,RIGHT
B66,UNIT_C,INPUT,TEST_MODE,RIGHT
B2,UNIT_C,INPUT,XTLI,RIGHT
A4,UNIT_C,OUTPUT,XTLO,RIGHT
A80,UNIT_C,OUTPUT,INTn,RIGHT
A12,UNIT_C,OUTPUT,VREF,RIGHT
B1,UNIT_PWR,POWER,DVDD1V2,LEFT
B54,UNIT_PWR,POWER,DVDD1V2,LEFT
B62,UNIT_PWR,POWER,DVDD1V2,LEFT
B3,UNIT_PWR,POWER,AVDD1V2,LEFT
A7,UNIT_PWR,POWER,AVDD1V2,LEFT
A10,UNIT_PWR,POWER,AVDD1V2,LEFT
B14,UNIT_PWR,POWER,AVDD1V2,LEFT
B17,UNIT_PWR,POWER,AVDD1V2,LEFT
B21,UNIT_PWR,POWER,AVDD1V2,LEFT
B24,UNIT_PWR,POWER,AVDD1V2,LEFT
B27,UNIT_PWR,POWER,AVDD1V2,LEFT
A33,UNIT_PWR,POWER,AVDD1V2,LEFT
B31,UNIT_PWR,POWER,AVDD1V2,LEFT
B34,UNIT_PWR,POWER,AVDD1V2,LEFT
B37,UNIT_PWR,POWER,AVDD1V2,LEFT
A78,UNIT_PWR,POWER,AVDD1V2,LEFT
A3,UNIT_PWR,POWER,GND,RIGHT
A5,UNIT_PWR,POWER,GND,RIGHT
B39,UNIT_PWR,POWER,GND,RIGHT
B55,UNIT_PWR,POWER,GND,RIGHT
A68,UNIT_PWR,POWER,GND,RIGHT
EPAD,UNIT_PWR,POWER,GND,RIGHT
B7,UNIT_PWR,POWER,AVDD3V3,LEFT
B11,UNIT_PWR,POWER,AVDD3V3,LEFT
A17,UNIT_PWR,POWER,AVDD3V3,LEFT
A27,UNIT_PWR,POWER,AVDD3V3,LEFT
A30,UNIT_PWR,POWER,AVDD3V3,LEFT
A37,UNIT_PWR,POWER,AVDD3V3,LEFT
A40,UNIT_PWR,POWER,AVDD3V3,LEFT
B56,UNIT_PWR,POWER,VDD3V3_SWR,LEFT
A63,UNIT_PWR,POWER,VDD3V3_SWR,LEFT
B46,UNIT_PWR,POWER,DVDD2V7,LEFT
A82,UNIT_PWR,POWER,DVDD2V7,LEFT
A64,UNIT_C,OUTPUT,LX,RIGHT
A65,UNIT_C,OUTPUT,LX,RIGHT
A62,UNIT_PWR,POWER,VDD2V7_REG1,LEFT
A56,UNIT_PWR,POWER,VDD1V5_REG0,LEFT
A71,UNIT_PWR,POWER,VDD1V5_REG1,LEFT
A14,UNIT_PWR,POWER,AVDDVCO_0,LEFT
B29,UNIT_PWR,POWER,AVDDVCO_1,LEFT
B10,UNIT_PWR,POWER,FILCAP_27A_REG0,RIGHT
B4,UNIT_PWR,POWER,FILCAP_27A_0,RIGHT
A20,UNIT_PWR,POWER,FILCAP_27A_1,RIGHT
A34,UNIT_PWR,POWER,FILCAP_27A_2,RIGHT
B40,UNIT_PWR,POWER,FILCAP_27D_0,RIGHT
A51,UNIT_PWR,POWER,FILCAP_27D_1,RIGHT
A61,UNIT_PWR,POWER,FILCAP_15D_0,RIGHT
B63,UNIT_PWR,POWER,FILCAP_15D_1,RIGHT
B12,UNIT_PWR,POWER,FILCAP_12D_0,RIGHT
B19,UNIT_PWR,POWER,FILCAP_12D_1,RIGHT
A47,UNIT_PWR,POWER,FILCAP_12D_2,RIGHT
B50,UNIT_PWR,POWER,FILCAP_12D_3,RIGHT
B69,UNIT_PWR,POWER,FILCAP_12D_4,RIGHT
,,,,
,,,,