USB7056,,,
Pin,Unit,Type,Name
1,OTHER,BI,RESET_N
2,PF,BI,PF30/VBUS_DET
3,PF,BI,PF31
4,OTHER,BI,DP1_VBUS_MON
5,USBD,BI,USB2DN_DP1/PRT_DIS_P1
6,USBD,BI,USB2DN_DM1/PRT_DIS_M1
7,USBD,BI,USB3DN_TXDP1A
8,USBD,BI,USB3DN_TXDM1A
9,POWER,PWR,VDD12
10,USBD,BI,USB3DN_RXDP1A
11,USBD,BI,USB3DN_RXDM1A
12,OTHER,BI,DP1_CC1
13,OTHER,BI,DP1_CC2
14,USBD,BI,USB2DN_DP5/PRT_DIS_P5
15,USBD,BI,USB2DN_DM5/PRT_DIS_M5
16,USBD,BI,USB3DN_TXDP1B
17,USBD,BI,USB3DN_TXDM1B
18,POWER,PWR,VDD12
19,USBD,BI,USB3DN_RXDP1B
20,USBD,BI,USB3DN_RXDM1B
21,OTHER,BI,CFG_STRAP1
22,OTHER,BI,CFG_STRAP2
23,OTHER,BI,CFG_STRAP3
24,POWER,NC,TESTEN
25,POWER,PWR,VDD12
26,POWER,PWR,VDD33
27,USBD,BI,USB2DN_DP2/PRT_DIS_P2
28,USBD,BI,USB2DN_DM2/PRT_DIS_M2
29,USBD,BI,USB3DN_TXDP2
30,USBD,BI,USB3DN_TXDM2
31,POWER,PWR,VDD12
32,USBD,BI,USB3DN_RXDP2
33,USBD,BI,USB3DN_RXDM2
34,USBD,BI,USB2DN_DP3/PRT_DIS_P3
35,USBD,BI,USB2DN_DM3/PRT_DIS_M3
36,USBD,BI,USB3DN_TXDP3
37,USBD,BI,USB3DN_TXDM3
38,POWER,PWR,VDD12
39,USBD,BI,USB3DN_RXDP3
40,USBD,BI,USB3DN_RXDM3
41,USBD,BI,USB2DN_DM6/PRT_DIS_M6
42,USBD,BI,USB2DN_DP6/PRT_DIS_P6
43,POWER,PWR,VDD33
44,PF,BI,PF3
45,PF,BI,PF4
46,PF,BI,PF5
47,PF,BI,PF6
48,PF,BI,PF7
49,PF,BI,PF8
50,PF,BI,PF9
51,PF,BI,PF10
52,PF,BI,PF11
53,POWER,PWR,VDD33
54,PF,BI,PF12
55,POWER,PWR,VDD12
56,PF,BI,PF13
57,PF,BI,PF14
58,PF,BI,PF15
59,PF,BI,PF16
60,PF,BI,PF17
61,PF,BI,PF18
62,POWER,PWR,VDD33
63,POWER,NC,TEST1
64,POWER,NC,TEST2
65,POWER,NC,TEST3
66,PF,BI,PF19
67,POWER,PWR,VDD33
68,PF,BI,PF21
69,PF,BI,PF20/CFG_NON_REM
70,PF,BI,PF22/CFG_BC_EN
71,PF,BI,PF23
72,PF,BI,PF24
73,PF,BI,PF25
74,PF,BI,PF29
75,PF,BI,PF26
76,PF,BI,PF27
77,PF,BI,PF28
78,POWER,PWR,VDD12
79,POWER,PWR,VDD33
80,OTHER,BI,VBUS_MON_UP
81,USBD,BI,USB2DN_DP4/PRT_DIS_P4
82,USBD,BI,USB2DN_DM4/PRT_DIS_M4
83,USBD,BI,USB3DN_TXDP4
84,USBD,BI,USB3DN_TXDM4
85,POWER,PWR,VDD12
86,USBD,BI,USB3DN_RXDP4
87,USBD,BI,USB3DN_RXDM4
88,POWER,PWR,VDD33
89,OTHER,BI,USB2UP_DP
90,OTHER,BI,USB2UP_DM
91,OTHER,BI,USB3UP_TXDP
92,OTHER,BI,USB3UP_TXDM
93,POWER,PWR,VDD12
94,OTHER,BI,USB3UP_RXDP
95,OTHER,BI,USB3UP_RXDM
96,POWER,NC,ATEST
97,OTHER,BI,XTALO
98,OTHER,BI,XTALI/CLK_IN
99,POWER,PWR,VDD33
100,OTHER,BI,RBIAS